Table_Number,Table_name,Table_sub_name,Breakdown,Section,Units,Value,Time_Period,Footnotes
Table 6,Financials - Maori Authorities: Agriculture,ANZSIC06 subdivision A01,Indirect taxes,Financial performance,Thousand Dollars,6301,2017,1 and 2 and 3 and 4
Table 6,Financials - Maori Authorities: Agriculture,ANZSIC06 subdivision A01,Interest and donations,Financial performance,Thousand Dollars,17946,2017,1 and 2 and 3 and 4
Table 6,Financials - Maori Authorities: Agriculture,ANZSIC06 subdivision A01,Liabilities structure,Financial ratios,Percent,81.5,2017,1 and 2 and 3 and 4
Table 6,Financials - Maori Authorities: Agriculture,ANZSIC06 subdivision A01,Opening stocks,Financial performance,Thousand Dollars,231129,2017,1 and 2 and 3 and 4
Table 6,Financials - Maori Authorities: Agriculture,ANZSIC06 subdivision A01,Other assets,Financial position,Thousand Dollars,462474,2017,1 and 2 and 3 and 4
Table 6,Financials - Maori Authorities: Agriculture,ANZSIC06 subdivision A01,Other liabilities,Financial position,Thousand Dollars,344003,2017,1 and 2 and 3 and 4
Table 6,Financials - Maori Authorities: Agriculture,ANZSIC06 subdivision A01,Purchases and other expenses,Financial performance,Thousand Dollars,216390,2017,1 and 2 and 3 and 4 and 7
Table 6,Financials - Maori Authorities: Agriculture,ANZSIC06 subdivision A01,Quick ratio,Financial ratios,Percent,90.9,2017,1 and 2 and 3 and 4
Table 6,Financials - Maori Authorities: Agriculture,ANZSIC06 subdivision A01,Return on equity,Financial ratios,Percent,2.7,2017,1 and 2 and 3 and 4
Table 6,Financials - Maori Authorities: Agriculture,ANZSIC06 subdivision A01,Return on total assets,Financial ratios,Percent,2.2,2017,1 and 2 and 3 and 4
Table 6,Financials - Maori Authorities: Agriculture,ANZSIC06 subdivision A01,Salaries and wages paid,Financial performance,Thousand Dollars,41597,2017,1 and 2 and 3 and 4 and 6
Table 6,Financials - Maori Authorities: Agriculture,ANZSIC06 subdivision A01,Shareholders funds or owners equity,Financial position,Thousand Dollars,2128261,2017,1 and 2 and 3 and 4
Table 6,Financials - Maori Authorities: Agriculture,ANZSIC06 subdivision A01,Surplus before income tax,Financial performance,Thousand Dollars,56996,2017,1 and 2 and 3 and 4
Table 6,Financials - Maori Authorities: Agriculture,ANZSIC06 subdivision A01,Surplus per employee count,Financial ratios,Dollars,41500,2017,1 and 2 and 3 and 4 and 9
Table 6,Financials - Maori Authorities: Agriculture,ANZSIC06 subdivision A01,Total assets,Financial position,Thousand Dollars,2611474,2017,1 and 2 and 3 and 4 and 8
Table 6,Financials - Maori Authorities: Agriculture,ANZSIC06 subdivision A01,Total equity and liabilities,Financial position,Thousand Dollars,2611474,2017,1 and 2 and 3 and 4
Table 6,Financials - Maori Authorities: Agriculture,ANZSIC06 subdivision A01,Total expenditure,Financial performance,Thousand Dollars,297804,2017,1 and 2 and 3 and 4
Table 6,Financials - Maori Authorities: Agriculture,ANZSIC06 subdivision A01,Total income,Financial performance,Thousand Dollars,341826,2017,1 and 2 and 3 and 4
Table 6,Financials - Maori Authorities: Agriculture,ANZSIC06 subdivision A01,Total income per employee count,Financial ratios,Dollars,248900,2017,1 and 2 and 3 and 4 and 9
Table 6,Financials - Maori Authorities: Agriculture,ANZSIC06 subdivision A01,Closing stocks,Financial performance,Thousand Dollars,302297,2018,1 and 2 and 3 and 4
Table 6,Financials - Maori Authorities: Agriculture,ANZSIC06 subdivision A01,Current assets,Financial position,Thousand Dollars,551776,2018,1 and 2 and 3 and 4
Table 6,Financials - Maori Authorities: Agriculture,ANZSIC06 subdivision A01,Current liabilities,Financial position,Thousand Dollars,150508,2018,1 and 2 and 3 and 4
Table 6,Financials - Maori Authorities: Agriculture,ANZSIC06 subdivision A01,Current ratio,Financial ratios,Percent,366.6,2018,1 and 2 and 3 and 4
Table 6,Financials - Maori Authorities: Agriculture,ANZSIC06 subdivision A01,Debt to equity ratio,Financial ratios,Percent,25.1,2018,1 and 2 and 3 and 4
Table 6,Financials - Maori Authorities: Agriculture,ANZSIC06 subdivision A01,Depreciation,Financial performance,Thousand Dollars,20175,2018,1 and 2 and 3 and 4
Table 6,Financials - Maori Authorities: Agriculture,ANZSIC06 subdivision A01,Fixed tangible assets,Financial position,Thousand Dollars,2065946,2018,1 and 2 and 3 and 4
Table 6,Financials - Maori Authorities: Agriculture,ANZSIC06 subdivision A01,Indirect taxes,Financial performance,Thousand Dollars,6820,2018,1 and 2 and 3 and 4
Table 6,Financials - Maori Authorities: Agriculture,ANZSIC06 subdivision A01,Interest and donations,Financial performance,Thousand Dollars,21992,2018,1 and 2 and 3 and 4
Table 6,Financials - Maori Authorities: Agriculture,ANZSIC06 subdivision A01,Liabilities structure,Financial ratios,Percent,79.9,2018,1 and 2 and 3 and 4
Table 6,Financials - Maori Authorities: Agriculture,ANZSIC06 subdivision A01,Opening stocks,Financial performance,Thousand Dollars,284060,2018,1 and 2 and 3 and 4
Table 6,Financials - Maori Authorities: Agriculture,ANZSIC06 subdivision A01,Other assets,Financial position,Thousand Dollars,415140,2018,1 and 2 and 3 and 4
Table 6,Financials - Maori Authorities: Agriculture,ANZSIC06 subdivision A01,Other liabilities,Financial position,Thousand Dollars,458847,2018,1 and 2 and 3 and 4
Table 6,Financials - Maori Authorities: Agriculture,ANZSIC06 subdivision A01,Purchases and other expenses,Financial performance,Thousand Dollars,273017,2018,1 and 2 and 3 and 4 and 7
Table 6,Financials - Maori Authorities: Agriculture,ANZSIC06 subdivision A01,Quick ratio,Financial ratios,Percent,165.8,2018,1 and 2 and 3 and 4
Table 6,Financials - Maori Authorities: Agriculture,ANZSIC06 subdivision A01,Return on equity,Financial ratios,Percent,3.6,2018,1 and 2 and 3 and 4
Table 6,Financials - Maori Authorities: Agriculture,ANZSIC06 subdivision A01,Return on total assets,Financial ratios,Percent,2.9,2018,1 and 2 and 3 and 4
Table 6,Financials - Maori Authorities: Agriculture,ANZSIC06 subdivision A01,Salaries and wages paid,Financial performance,Thousand Dollars,51597,2018,1 and 2 and 3 and 4 and 6
Table 6,Financials - Maori Authorities: Agriculture,ANZSIC06 subdivision A01,Shareholders funds or owners equity,Financial position,Thousand Dollars,2423507,2018,1 and 2 and 3 and 4
Table 6,Financials - Maori Authorities: Agriculture,ANZSIC06 subdivision A01,Surplus before income tax,Financial performance,Thousand Dollars,87624,2018,1 and 2 and 3 and 4
Table 6,Financials - Maori Authorities: Agriculture,ANZSIC06 subdivision A01,Surplus per employee count,Financial ratios,Dollars,61400,2018,1 and 2 and 3 and 4 and 9
Table 6,Financials - Maori Authorities: Agriculture,ANZSIC06 subdivision A01,Total assets,Financial position,Thousand Dollars,3032862,2018,1 and 2 and 3 and 4 and 8
Table 6,Financials - Maori Authorities: Agriculture,ANZSIC06 subdivision A01,Total equity and liabilities,Financial position,Thousand Dollars,3032862,2018,1 and 2 and 3 and 4
Table 6,Financials - Maori Authorities: Agriculture,ANZSIC06 subdivision A01,Total expenditure,Financial performance,Thousand Dollars,373601,2018,1 and 2 and 3 and 4
Table 6,Financials - Maori Authorities: Agriculture,ANZSIC06 subdivision A01,Total income,Financial performance,Thousand Dollars,442988,2018,1 and 2 and 3 and 4
Table 6,Financials - Maori Authorities: Agriculture,ANZSIC06 subdivision A01,Total income per employee count,Financial ratios,Dollars,310400,2018,1 and 2 and 3 and 4 and 9
Table 6,Financials - Maori Authorities: Agriculture,ANZSIC06 subdivision A01,Closing stocks,Financial performance,Thousand Dollars,330202,2019,1 and 2 and 3 and 4
Table 6,Financials - Maori Authorities: Agriculture,ANZSIC06 subdivision A01,Current assets,Financial position,Thousand Dollars,578091,2019,1 and 2 and 3 and 4
Table 6,Financials - Maori Authorities: Agriculture,ANZSIC06 subdivision A01,Current liabilities,Financial position,Thousand Dollars,167890,2019,1 and 2 and 3 and 4
Table 6,Financials - Maori Authorities: Agriculture,ANZSIC06 subdivision A01,Current ratio,Financial ratios,Percent,344.3,2019,1 and 2 and 3 and 4
Table 6,Financials - Maori Authorities: Agriculture,ANZSIC06 subdivision A01,Debt to equity ratio,Financial ratios,Percent,24.2,2019,1 and 2 and 3 and 4
Table 6,Financials - Maori Authorities: Agriculture,ANZSIC06 subdivision A01,Depreciation,Financial performance,Thousand Dollars,21590,2019,1 and 2 and 3 and 4
Table 6,Financials - Maori Authorities: Agriculture,ANZSIC06 subdivision A01,Fixed tangible assets,Financial position,Thousand Dollars,2186121,2019,1 and 2 and 3 and 4
Table 6,Financials - Maori Authorities: Agriculture,ANZSIC06 subdivision A01,Indirect taxes,Financial performance,Thousand Dollars,7168,2019,1 and 2 and 3 and 4
Table 6,Financials - Maori Authorities: Agriculture,ANZSIC06 subdivision A01,Interest and donations,Financial performance,Thousand Dollars,23814,2019,1 and 2 and 3 and 4
Table 6,Financials - Maori Authorities: Agriculture,ANZSIC06 subdivision A01,Liabilities structure,Financial ratios,Percent,80.5,2019,1 and 2 and 3 and 4
Table 6,Financials - Maori Authorities: Agriculture,ANZSIC06 subdivision A01,Opening stocks,Financial performance,Thousand Dollars,309414,2019,1 and 2 and 3 and 4
Table 6,Financials - Maori Authorities: Agriculture,ANZSIC06 subdivision A01,Other assets,Financial position,Thousand Dollars,462076,2019,1 and 2 and 3 and 4
Table 6,Financials - Maori Authorities: Agriculture,ANZSIC06 subdivision A01,Other liabilities,Financial position,Thousand Dollars,461459,2019,1 and 2 and 3 and 4
Table 6,Financials - Maori Authorities: Agriculture,ANZSIC06 subdivision A01,Purchases and other expenses,Financial performance,Thousand Dollars,310883,2019,1 and 2 and 3 and 4 and 7
Table 6,Financials - Maori Authorities: Agriculture,ANZSIC06 subdivision A01,Quick ratio,Financial ratios,Percent,147.7,2019,1 and 2 and 3 and 4
Table 6,Financials - Maori Authorities: Agriculture,ANZSIC06 subdivision A01,Return on equity,Financial ratios,Percent,2.3,2019,1 and 2 and 3 and 4
Table 6,Financials - Maori Authorities: Agriculture,ANZSIC06 subdivision A01,Return on total assets,Financial ratios,Percent,1.9,2019,1 and 2 and 3 and 4
Table 6,Financials - Maori Authorities: Agriculture,ANZSIC06 subdivision A01,Salaries and wages paid,Financial performance,Thousand Dollars,55465,2019,1 and 2 and 3 and 4 and 6
Table 6,Financials - Maori Authorities: Agriculture,ANZSIC06 subdivision A01,Shareholders funds or owners equity,Financial position,Thousand Dollars,2596939,2019,1 and 2 and 3 and 4
Table 6,Financials - Maori Authorities: Agriculture,ANZSIC06 subdivision A01,Surplus before income tax,Financial performance,Thousand Dollars,60510,2019,1 and 2 and 3 and 4
Table 6,Financials - Maori Authorities: Agriculture,ANZSIC06 subdivision A01,Surplus per employee count,Financial ratios,Dollars,46000,2019,1 and 2 and 3 and 4 and 9
Table 6,Financials - Maori Authorities: Agriculture,ANZSIC06 subdivision A01,Total assets,Financial position,Thousand Dollars,3226288,2019,1 and 2 and 3 and 4 and 8
Table 6,Financials - Maori Authorities: Agriculture,ANZSIC06 subdivision A01,Total equity and liabilities,Financial position,Thousand Dollars,3226288,2019,1 and 2 and 3 and 4
Table 6,Financials - Maori Authorities: Agriculture,ANZSIC06 subdivision A01,Total expenditure,Financial performance,Thousand Dollars,418920,2019,1 and 2 and 3 and 4
Table 6,Financials - Maori Authorities: Agriculture,ANZSIC06 subdivision A01,Total income,Financial performance,Thousand Dollars,458642,2019,1 and 2 and 3 and 4
Table 6,Financials - Maori Authorities: Agriculture,ANZSIC06 subdivision A01,Total income per employee count,Financial ratios,Dollars,348600,2019,1 and 2 and 3 and 4 and 9
Table 6,Financials - Maori Authorities: Agriculture,ANZSIC06 subdivision A01,Closing stocks,Financial performance,Thousand Dollars,310894,2020,1 and 2 and 3 and 4 and 5 and 6 and 7 and 8
Table 6,Financials - Maori Authorities: Agriculture,ANZSIC06 subdivision A01,Current assets,Financial position,Thousand Dollars,611606,2020,1 and 2 and 3 and 4 and 5 and 6 and 7 and 8
Table 6,Financials - Maori Authorities: Agriculture,ANZSIC06 subdivision A01,Current liabilities,Financial position,Thousand Dollars,190539,2020,1 and 2 and 3 and 4 and 5 and 6 and 7 and 8
Table 6,Financials - Maori Authorities: Agriculture,ANZSIC06 subdivision A01,Current ratio,Financial ratios,Percent,295.4,2020,1 and 2 and 3 and 4 and 5 and 6 and 7 and 8
Table 6,Financials - Maori Authorities: Agriculture,ANZSIC06 subdivision A01,Debt to equity ratio,Financial ratios,Percent,24.3,2020,1 and 2 and 3 and 4 and 5 and 6 and 7 and 8
Table 6,Financials - Maori Authorities: Agriculture,ANZSIC06 subdivision A01,Depreciation,Financial performance,Thousand Dollars,24384,2020,1 and 2 and 3 and 4 and 5 and 6 and 7 and 8
Table 6,Financials - Maori Authorities: Agriculture,ANZSIC06 subdivision A01,Fixed tangible assets,Financial position,Thousand Dollars,2331647,2020,1 and 2 and 3 and 4 and 5 and 6 and 7 and 8
Table 6,Financials - Maori Authorities: Agriculture,ANZSIC06 subdivision A01,Indirect taxes,Financial performance,Thousand Dollars,7589,2020,1 and 2 and 3 and 4 and 5 and 6 and 7 and 8
Table 6,Financials - Maori Authorities: Agriculture,ANZSIC06 subdivision A01,Interest and donations,Financial performance,Thousand Dollars,23133,2020,1 and 2 and 3 and 4 and 5 and 6 and 7 and 8
Table 6,Financials - Maori Authorities: Agriculture,ANZSIC06 subdivision A01,Liabilities structure,Financial ratios,Percent,80.4,2020,1 and 2 and 3 and 4 and 5 and 6 and 7 and 8
Table 6,Financials - Maori Authorities: Agriculture,ANZSIC06 subdivision A01,Opening stocks,Financial performance,Thousand Dollars,318336,2020,1 and 2 and 3 and 4 and 5 and 6 and 7 and 8
Table 6,Financials - Maori Authorities: Agriculture,ANZSIC06 subdivision A01,Other assets,Financial position,Thousand Dollars,530602,2020,1 and 2 and 3 and 4 and 5 and 6 and 7 and 8
Table 6,Financials - Maori Authorities: Agriculture,ANZSIC06 subdivision A01,Other liabilities,Financial position,Thousand Dollars,489162,2020,1 and 2 and 3 and 4 and 5 and 6 and 7 and 8
Table 6,Financials - Maori Authorities: Agriculture,ANZSIC06 subdivision A01,Purchases and other expenses,Financial performance,Thousand Dollars,335411,2020,1 and 2 and 3 and 4 and 5 and 6 and 7 and 8
Table 6,Financials - Maori Authorities: Agriculture,ANZSIC06 subdivision A01,Quick ratio,Financial ratios,Percent,145.2,2020,1 and 2 and 3 and 4 and 5 and 6 and 7 and 8
Table 6,Financials - Maori Authorities: Agriculture,ANZSIC06 subdivision A01,Return on equity,Financial ratios,Percent,1.8,2020,1 and 2 and 3 and 4 and 5 and 6 and 7 and 8
Table 6,Financials - Maori Authorities: Agriculture,ANZSIC06 subdivision A01,Return on total assets,Financial ratios,Percent,1.4,2020,1 and 2 and 3 and 4 and 5 and 6 and 7 and 8
Table 6,Financials - Maori Authorities: Agriculture,ANZSIC06 subdivision A01,Salaries and wages paid,Financial performance,Thousand Dollars,59748,2020,1 and 2 and 3 and 4 and 5 and 6 and 7 and 8
Table 6,Financials - Maori Authorities: Agriculture,ANZSIC06 subdivision A01,Shareholders funds or owners equity,Financial position,Thousand Dollars,2794154,2020,1 and 2 and 3 and 4 and 5 and 6 and 7 and 8
Table 6,Financials - Maori Authorities: Agriculture,ANZSIC06 subdivision A01,Surplus before income tax,Financial performance,Thousand Dollars,49793,2020,1 and 2 and 3 and 4 and 5 and 6 and 7 and 8
Table 6,Financials - Maori Authorities: Agriculture,ANZSIC06 subdivision A01,Surplus per employee count,Financial ratios,Dollars,28500,2020,1 and 2 and 3 and 4 and 5 and 6 and 7 and 8
Table 6,Financials - Maori Authorities: Agriculture,ANZSIC06 subdivision A01,Total assets,Financial position,Thousand Dollars,3473855,2020,1 and 2 and 3 and 4 and 5 and 6 and 7 and 8
Table 6,Financials - Maori Authorities: Agriculture,ANZSIC06 subdivision A01,Total equity and liabilities,Financial position,Thousand Dollars,3473855,2020,1 and 2 and 3 and 4 and 5 and 6 and 7 and 8
Table 6,Financials - Maori Authorities: Agriculture,ANZSIC06 subdivision A01,Total expenditure,Financial performance,Thousand Dollars,450265,2020,1 and 2 and 3 and 4 and 5 and 6 and 7 and 8
